"id","doi","title","year_published","volume","abstract","authors_keywords","document_type","publication_type","language","reprint_address","issn","eissn","source_abbreviation_29_character","iso_source_abbreviation","publication_date","issue","beginning_page","ending_page","page_count","web_of_science_categories","research_areas","document_delivery_number","accession_number","keyword_plus","open_access_indicator","pudmed_id","special_issue","book_series_title","meeting_abstract","editors","funding_agency_grant_number","id_conference","id_journal"
"YOUNG JA, 2015, J TECHNOL HUMAN SERV, V33, P72, DOI 10.1080/15228835.2014.998577","10.1080/15228835.2014.998577","ASSESSING NEW MEDIA LITERACIES IN SOCIAL WORK EDUCATION: THE DEVELOPMENT AND VALIDATION OF A COMPREHENSIVE ASSESSMENT INSTRUMENT",2015,"33","THE FOCUS OF THIS ARTICLE IS TO REPLICATE THE VALIDITY AND RELIABILITY OF A NEWLY DEVELOPED ASSESSMENT TOOL FOR SELF-REPORTED MEDIA LITERACY LEVELS BY ASSESSING THE NEW MEDIA LITERACY LEVELS OF SOCIAL WORK STUDENTS AND EDUCATORS. THE STUDY IS GROUNDED IN THE NEW MEDIA LITERACIES (NML) FRAMEWORK AND THE CONCEPT OF PARTICIPATORY CULTURE. FINDINGS INDICATE A SIGNIFICANT DIFFERENCE BETWEEN THE LEVELS OF NEW MEDIA LITERACY OF STUDENTS AND EDUCATORS. STUDENTS WERE ALSO FOUND TO BE MORE ENGAGED WITH NEW MEDIA. THE STUDY DEMONSTRATES THE NEED TO INCORPORATE NEW MEDIA LITERACIES INTO THE SOCIAL WORK CURRICULUM TO INCREASE THE DIGITAL COMPETENCIES OF BOTH EDUCATORS AND STUDENTS. IMPLICATIONS FOR SOCIAL WORK EDUCATION AND FUTURE RESEARCH ARE SUGGESTED.","ASSESSMENT; EDUCATION; SOCIAL MEDIA; TECHNOLOGY LITERACY","ARTICLE","J","ENGLISH","YOUNG, JA (REPRINT AUTHOR), UNIV NEBRASKA, DEPT SOCIAL WORK, 2022 FOUNDERS HALL, KEARNEY, NE 68849 USA.","1522-8835","1522-8991","J TECHNOL HUMAN SERV","J. TECHNOL. HUMAN SERV.",NA,"1","72","86","15","SOCIAL WORK","SOCIAL WORK","V80TI","ISI000212204500006",NA,NA,NA,"SI",NA,NA,NA,NA,NA,"JOURNAL OF TECHNOLOGY IN HUMAN SERVICES"
"PEROVIC J, 2015, MEDIA COMMUN, V3, P91, DOI 10.17645/MAC.V3I4.335","10.17645/MAC.V3I4.335","MEDIA LITERACY IN MONTENEGRO",2015,"3","FEW COUNTRIES IN THE WORLD HAVE INTRODUCED MEDIA EDUCATION INTO THEIR CURRICULUMS. MONTENEGRO BECAME ONE OF THEM IN 2009, WHEN ""MEDIA LITERACY"" WAS INTRODUCED AS AN OPTIONAL SUBJECT FOR 16 AND 17 YEAR OLD STUDENTS OF GYMNASIUM HIGH SCHOOLS. THIS ARTICLE PRESENTS THE FINDINGS OF THE FIRST AND ONLY RESEARCH CONDUCTED SO FAR ON MEDIA EDUCATION IN MONTENEGRO. IT IS A NATIONAL CASE STUDY WHICH EXAMINES THE POTENTIAL OF MEDIA EDUCATION TO CHANGE THE SCHOOL CULTURE AND ACCELERATE EDUCATION SYSTEM REFORM TOWARDS EMBRACING THE NEW DIGITAL EDUCATION PARADIGM IN THE FUTURE. THE FOCUS IS ON THE RESULTS OF RESEARCH CONDUCTED THROUGH IN-DEPTH INTERVIEWS WITH MEDIA LITERACY TEACHERS ALL OVER THE COUNTRY. DESPITE THE MANY CHALLENGES, ALL TEACHERS IDENTIFY THE POTENTIAL OF MEDIA EDUCATION TO STRENGTHEN SOME OF THE KEY COMPETENCES OF THE STUDENTS AND TO IMPROVE THEIR MOTIVATION AND ACADEMIC PERFORMANCE. THEY ALSO IDENTIFY POTENTIAL TO CHANGE POSITIVELY SCHOOL CULTURE BY TRANSFORMING TEACHERS INTO ""CULTURAL MEDIATORS"" (MORCELLINI, 2007) AND BY SUPPORTING THE FORMATION OF A ""PARTICIPATIVE CULTURE"" (JENKINS & KELLEY, 2013) IN SCHOOLS. THIS RESEARCH RECOMMENDS FOCUSING EDUCATION REFORM ON SPREADING THE MEDIA EDUCATION PEDAGOGY TO THE ENTIRE CURRICULUM IN ORDER TO EMBRACE THE NEW DIGITAL EDUCATION PARADIGM IN THE FUTURE.","CHILDREN; CIVIC PARTICIPATION; CREATIVE MEDIA PRODUCTION; CRITICAL;   THINKING; MEDIA EDUCATION; MEDIA LITERACY; MEDIA PEDAGOGY; MONTENEGRO;;   YOUTH","ARTICLE","J","ENGLISH","PEROVIC, J (REPRINT AUTHOR), UNIV ROMA LA SAPIENZA, DEPT COMMUN & SOCIAL RES, I-00198 ROME, ITALY.","2183-2439",NA,"MEDIA COMMUN","MEDIA COMMUN.",NA,"4","91","105","15","COMMUNICATION","COMMUNICATION","VA6SE","ISI000410222000010",NA,"GOLD",NA,NA,NA,NA,NA,NA,NA,"MEDIA AND COMMUNICATION"
"CRUZ-DIAZ MR, 2015, MEDIAOBRAZOVANIE, P31",NA,"MEDIA LITERACY IN HIGHER EDUCATION: ITS PRESENCE IN COMMUNICATION AND EDUCATION DEGREE COURSES IN SPANISH UNIVERSITIES",2015,NA,"THIS ANALYSIS, WHICH FORMS PART OF AN R&D PROJECT COMPRISING THIRTEEN SPANISH UNIVERSITIES WITH DEGREE COURSES IN COMMUNICATION STUDIES (AUDIOVISUAL COMMUNICATION, JOURNALISM AND ADVERTISING) AND EDUCATION (TEACHING, PEDAGOGY, PSYCHOPEDAGOGY AND SOCIAL EDUCATION), PRESENTS THE NEEDS AND WANTS IN MEDIA EDUCATION WITHIN HIGHER EDUCATION. THE PRESUPPOSITION IS THAT MEDIA COMPETENCE IS ESSENTIAL FOR GOOD UNIVERSITY TRAINING, IN LINE WITH THE DEMANDS OF SOCIETY TODAY. ON THIS BASIS, THE FOCUS OF THIS PAPER IS AN ANALYSIS OF HIGHER EDUCATION TEXTBOOKS. THE RESULTS REVEAL NON-EXISTENT OR INSUFFICIENT TEACHING PROVISION OF SUBJECTS DIRECTLY RELATED TO MEDIA COMPETENCE. AT THE SAME TIME, INDIRECTLY RELATED SUBJECTS ARE MAINLY CONCERNED WITH THE TECHNOLOGY DIMENSION. WE CLOSE THE ANALYSIS WITH PROPOSALS AND SUGGESTIONS FOR BROADENING THE CURRICULUM SPECTRUM.","MEDIA LITERACY; COMPETENCE; HIGHER EDUCATION; COMMUNICATION; EDUCATION;;   TEXTBOOKS","ARTICLE","J","ENGLISH","CRUZ-DIAZ, MR (REPRINT AUTHOR), PABLO OLAVIDE UNIV, FAC SOCIAL SCI, DEPT EDUC & SOCIAL PSICHOL, SEVILLE, SPAIN.","1994-4160","1994-4195","MEDIAOBRAZOVANIE","MEDIAOBRAZOVANIE",NA,"4","31","41","11","COMMUNICATION","COMMUNICATION","V7Q0P","ISI000421187000004",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDIAOBRAZOVANIE-MEDIA EDUCATION"
"BARSUKOV V, 2015, MEDIAOBRAZOVANIE, P167",NA,"MEDIA LITERACY EDUCATION, MEDIA COMPETENCE: NEW BOOKS, ARTICLES",2015,NA,"ARTICLE IS DEVOTED TO MEDIA EDUCATION PUBLICATIONS RECENTLY.","MEDIA; MEDIA EDUCATION; MEDIA LITERACY; PUBLISHING","ARTICLE","J","RUSSIAN",NA,"1994-4160","1994-4195","MEDIAOBRAZOVANIE","MEDIAOBRAZOVANIE",NA,"4","167","172","6","COMMUNICATION","COMMUNICATION","V7Q0P","ISI000421187000016",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDIAOBRAZOVANIE-MEDIA EDUCATION"
"DIAZ MDC, 2015, REDES COM, P86, DOI 10.15213/REDES.N12.P86","10.15213/REDES.N12.P86","THE USE OF COMMUNICATION TECHNOLOGIES TO MEDIA LITERACY SKILLS IN ELDERLY PEOPLE",2015,NA,"INCREASING LIFE EXPECTANCY CREATES GREAT CHALLENGES AND DIFFICULTIES IN A SOCIETY THAT MUST RESPOND UNIFORM AND GLOBAL POPULATION AGING. OUR ELDERS HAVE AGING ""FULL OF LIFE"" AND MANY OF THEIR CAPACITIES ARE STILL TO HIGH PERFORMANCE. IN THIS ARTICLE WE WANT TO APPROACH ONE OF THE PRINCIPLES OF ACTIVE AGING, TRAINING THROUGHOUT LIFE, IN PARTICULAR THE USE AND DEVELOPMENT OF THE SKILLS AND ABILITIES TO AUDIOVISUAL MEDIA AND TECHNOLOGICAL RESOURCES. THUS, THE RESULTS OF A STUDY ON MEDIA LITERACY IN ADULTS AND OLDER ANDALUSIAN (SPANISH) BY QUANTITATIVE AND QUALITATIVE ANALYSIS OF THE USE OF INTERNET AND MEDIA COMPETENCE LEVEL OF OUR ELDERS, WHILE THEY ARE COLLECTED DESCRIBES SOME OF THE ADVANTAGES THAT MAY INCORPORATE ICT IN THE LIFE OF THE MAYOR: INTERACTIVITY, IMPROVED SELF-ESTEEM, HIGHER LEVELS OF SOCIAL PARTICIPATION AND IMPROVING INTERGENERATIONAL RELATIONS. IN PARTICULAR SOME OF THE DATA OBTAINED FROM THE QUESTIONNAIRE ON MEDIA COMPETENCE IMPLEMENTED DURING THE YEARS 2012 AND 2013, THE POPULATION OF PEOPLE OVER 55 LIVING IN THE AUTONOMOUS COMMUNITY OF ANDALUSIA (SPAIN) ARE ANALYZED. RESULTS OF THE RESEARCH PROJECT OF THE ANDALUSIAN (P10SEJ-5823) ""THE COMPETENCE OF THE ANDALUSIAN AUDIOVISUAL CITIZENSHIP. STRATEGIES OF MEDIA LITERACY IN THE DIGITAL ENTERTAINMENT COMPANY"". AMONG THE SAMPLE OLDER ADULT PARTICIPANTS WERE COLLECTED BOTH IN UNIVERSITY CLASSROOMS OF HIGHER (UNIVERSITY PROGRAMS FOR OLDER PUMS) AS PEOPLE WITHOUT ANY ACADEMIC LINKS.","DIGITAL LITERACY; DIGITAL COMPETENCE; ELDERLY PEOPLE; UNIVERSITY; TRENDS;   AND SOCIAL WEBS","ARTICLE","J","SPANISH",NA,"1696-2079","2255-5919","REDES COM","REDES COM",NA,"12","86","111","26","COMMUNICATION","COMMUNICATION","VB7NP","ISI000417060900006",NA,NA,NA,NA,NA,NA,NA,NA,NA,"REDES COM-REVISTA DE ESTUDIOS PARA EL DESARROLLO SOCIAL DE LA;   COMUNICACION"
"GONZALEZ SC, 2015, REDES COM, P194, DOI 10.15213/REDES.N12.P194","10.15213/REDES.N12.P194","""SEXUAL MEDIATIC EDUCATION"". INCORPORATING CRITIC MEDIA LITERACY INTO A SEXUAL EDUCATION PROGRAM FOR COMPULSORY SECONDARY EDUCATION",2015,NA,"DURING THE YEAR 2013, AS FINAL RESEARCH PROJECT FOR THE OFFICIAL MASTER DEGREE ""INTERVENTION AND INVESTIGATION IN SOCIAL EDUCATION"" OF THE UNIVERSITY OF OVIEDO, WE GOT STARTED A RESEARCH ORIENTATED TO UNDERSTAND WHAT KIND OF USE YOUNG PEOPLE FROM 14 TO 16 YEARS OLD MAKE OF SOCIAL NETWORKS, IN ORDER TO COMMUNICATE EMOTIONAL AND AFFECTIVELY. ALL OF IT BASED ON A DESIGN OF UPDATING PROPOSAL FOR THE PROGRAM FOR SEXUAL-AFFECTIVE EDUCATION, ""NI OGROS NI PRINCESAS"". THIS RESEARCH PROVIDED INFORMATION THAT CONFIRMED THE NEED TO DEVELOP AND APPLY COMPLEMENTARY INTERVENTION STRATEGIES FROM EDUCOMMUNICATION AND SEXOLOGY POINT OF VIEW. ACCORDING TO THIS INFORMATION AND WITH THE AIM TO INCORPORATE THE RESULTS OF THE STUDIES IN THE REAL TEACHING PRACTICE, TEACHING UNIT ""DIGITAL IDENTITIES"" (CALVO, 2014) GOT INCLUDED IN THE COLLECTION ""TEACHING MATERIALS FOR COEDUATION"", IN COLABORATION WITH THE ASTURIAN WOMEN INSTITUTION. IN THIS TEACHING UNIT, PROGRAMMED SESSIONS TO WORK GRADUALLY, ALONG EVERY ESO (SECUNDARY OBLIGATORY EDUCATION) COURSE ARE INTRODUCED, WITH TOPICS LIKE PRIVACY AND INTIMACY, PERSONAL OR EMOTIONAL RELATIONSHIPS MANAGEMENT, EMPOWERMENT AND RESPONSIBLE USE OF INFORMATION AND COMUNICATION TECHNOLOGIES (ICT'S).","SEXOLOGY; EDUCOMMUNICATION; SEXUAL EDUCATION; SOCIAL NETWORKS; DIGITAL;   IDENTITIES","ARTICLE","J","SPANISH",NA,"1696-2079","2255-5919","REDES COM","REDES COM",NA,"12","194","221","28","COMMUNICATION","COMMUNICATION","VB7NP","ISI000417060900011",NA,NA,NA,NA,NA,NA,NA,NA,NA,"REDES COM-REVISTA DE ESTUDIOS PARA EL DESARROLLO SOCIAL DE LA;   COMUNICACION"
"GORDON CS, 2014, DRUG ALCOHOL REV, V33, P29",NA,"KEY CONSIDERATIONS FOR DEVELOPING AN EFFECTIVE ALCOHOL MEDIA LITERACY PROGRAM: FINDINGS FROM A SYSTEMATIC LITERATURE REVIEW",2014,"33",NA,NA,"MEETING ABSTRACT","J","ENGLISH",NA,"0959-5236","1465-3362","DRUG ALCOHOL REV","DRUG ALCOHOL REV.","NOV",NA,"29","30","2","SUBSTANCE ABUSE","SUBSTANCE ABUSE","AT4NA","ISI000344914800086",NA,NA,NA,"SI",NA,NA,NA,NA,NA,"DRUG AND ALCOHOL REVIEW"
"GORDON CS, 2014, DRUG ALCOHOL REV-a, V33, P29",NA,"DEVELOPMENT OF MEDIA IN THE SPOTLIGHT: A SCHOOL-BASED ALCOHOL MEDIA LITERACY PROGRAM",2014,"33",NA,NA,"MEETING ABSTRACT","J","ENGLISH",NA,"0959-5236","1465-3362","DRUG ALCOHOL REV","DRUG ALCOHOL REV.","NOV",NA,"29","29","1","SUBSTANCE ABUSE","SUBSTANCE ABUSE","AT4NA","ISI000344914800085",NA,NA,NA,"SI",NA,NA,NA,NA,NA,"DRUG AND ALCOHOL REVIEW"
"DROTNER K, 2014, LEARN MEDIA TECHNOL, V39, P409, DOI 10.1080/17439884.2014.964255","10.1080/17439884.2014.964255","TOPPLING HIERARCHIES? MEDIA AND INFORMATION LITERACIES, ETHNICITY, AND PERFORMATIVE MEDIA PRACTICES",2014,"39","THIS ARTICLE SUGGESTS HOW WE SHOULD STUDY MEDIA AND INFORMATION LITERACIES (MIL) AND DO SO AT A TIME, WHEN YOUNG PEOPLE NURTURE THESE LITERACIES THROUGH MULTIPLE MEDIA PRACTICES AND ACROSS SPACES OF LEARNING. OUR BASIC ARGUMENT IS THIS: IN ORDER TO GAIN A ROBUST KNOWLEDGE BASE FOR THE DEVELOPMENT OF MIL WE NEED TO STUDY LITERACY PRACTICES BEYOND PRINT LITERACY AND NUMERACY, AND WE NEED TO STUDY THESE PRACTICES BEYOND FORMAL SPACES OF LEARNING. THE ARGUMENT IS UNFOLDED WITH PARTICULAR FOCUS ON ETHNIC MINORITY YOUTH SINCE THIS GROUP ROUTINELY FIGURES AS UNDER-ACHIEVING IN STUDIES OF SCHOOL LITERACY, SUCH AS PROGRAMME FOR INTERNATIONAL STUDENT ASSESSMENT. BASED ON A BRIEF OVERVIEW OF LITERACY STUDIES IN VIEW OF DIGITIZATION AND A CRITICAL EXAMINATION OF RECENT STUDIES OF YOUTHFUL MEDIA PRACTICES AND ETHNICITY, THE ARGUMENT IS ILLUSTRATED THROUGH AN EMPIRICAL ANALYSIS THAT DRAWS ON RESULTS FROM A NATIONALLY REPRESENTATIVE SURVEY OF MEDIA USES AMONG DANES AGED 13-23 YEARS. THE ANALYSIS DEMONSTRATES THAT ETHNIC MINORITY YOUTH OFFER THE MOST SERIOUS CHALLENGE TO EXISTING LITERACY HIERARCHIES FOUND IN FORMAL EDUCATION. WE DISCUSS THE IMPLICATIONS OF THESE RESULTS FOR EDUCATIONAL POLICY-MAKING AND FOR FUTURE RESEARCH ON MIL, ADVOCATING INCLUSIVE APPROACHES IN TERMS OF MEDIA FOR LEARNING AND SPACES OF LEARNING.","MEDIA AND INFORMATION LITERACIES; LEARNING; SNS; ETHNICITY; SOCIAL MEDIA;   COMMUNICATION; MEDIA USES; CONTENT CREATION","ARTICLE","J","ENGLISH","DROTNER, K (REPRINT AUTHOR), UNIV SOUTHERN DENMARK, INST STUDY CULTURE MEDIA STUDIES, 55 CAMPUSVEJ, DK-5230 ODENSE M, DENMARK.","1743-9884","1743-9892","LEARN MEDIA TECHNOL","LEARN. MEDIA TECHNOL.","OCT 2","4","409","428","20","EDUCATION & EDUCATIONAL RESEARCH","EDUCATION & EDUCATIONAL RESEARCH","AR9PX","ISI000343908000002",NA,NA,NA,"SI",NA,NA,NA,NA,NA,"LEARNING MEDIA AND TECHNOLOGY"
"LIVINGSTONE S, 2014, COMMUNICATIONS-GER, V39, P283, DOI 10.1515/COMMUN-2014-0113","10.1515/COMMUN-2014-0113","DEVELOPING SOCIAL MEDIA LITERACY: HOW CHILDREN LEARN TO INTERPRET RISKY OPPORTUNITIES ON SOCIAL NETWORK SITES",2014,"39","THE WIDESPREAD USE OF SOCIAL NETWORK SITES (SNSS) BY CHILDREN HAS SIGNIFICANTLY RECONFIGURED HOW THEY COMMUNICATE, WITH WHOM AND WITH WHAT CONSEQUENCES. THIS ARTICLE ANALYZES CROSS-NATIONAL INTERVIEWS AND FOCUS GROUPS TO EXPLORE THE RISKY OPPORTUNITIES CHILDREN EXPERIENCE ONLINE. IT INTRODUCES THE NOTION OF SOCIAL MEDIA LITERACY AND EXAMINES HOW CHILDREN LEARN TO INTERPRET AND ENGAGE WITH THE TECHNOLOGICAL AND TEXTUAL AFFORDANCES AND SOCIAL DIMENSIONS OF SNSS IN DETERMINING WHAT IS RISKY AND WHY. INFORMED BY MEDIA LITERACY RESEARCH, A SOCIAL DEVELOPMENTAL PATHWAY IS PROPOSED ACCORDING TO WHICH CHILDREN ARE FIRST RECIPIENTS, THEN PARTICIPANTS, AND FINALLY ACTORS IN THEIR SOCIAL MEDIA WORLDS. THE FINDINGS SUGGEST THAT SNSS FACE CHILDREN (AGED APPROXIMATELY 9-11) WITH THE FUNDAMENTAL QUESTION OF WHAT IS REAL OR FAKE. BY AROUND 1113, THEY ARE MORE ABSORBED BY THE QUESTION OF WHAT IS FUN, EVEN IF IT IS TRANSGRESSIVE OR FAKE. BY AGE 14-16, THE INCREASING COMPLEXITY OF THEIR SOCIAL AND EMOTIONAL LIVES, AS WELL AS THEIR GREATER MATURITY, CONTRIBUTES TO A REFOCUSING ON WHAT IS VALUABLE FOR THEM. THEIR CHANGING ORIENTATION TO SOCIAL NETWORKING ONLINE (AND OFFLINE) APPEARS TO BE SHAPED BY THEIR CHANGING PEER AND PARENTAL RELATIONS, AND HAS IMPLICATIONS FOR THEIR PERCEPTIONS OF RISK OF HARM.","SOCIAL NETWORKING SITES; CHILDREN AND YOUTH; MEDIA LITERACY; SOCIAL;   MEDIA LITERACY; RISKY OPPORTUNITIES; ONLINE COMMUNICATION","ARTICLE","J","ENGLISH","LIVINGSTONE, S (REPRINT AUTHOR), LSE, DEPT MEDIA & COMMUN, LONDON, ENGLAND.","0341-2059","1613-4087","COMMUNICATIONS-GER","COMMUNICATIONS","SEP","3","283","303","21","COMMUNICATION","COMMUNICATION","AR1BW","ISI000343316500004","DIGITAL DIVIDE; TEENAGERS USE; SELF; INTERNET; SKILLS","GREEN_PUBLISHED",NA,NA,NA,NA,NA,"EUROPEAN COMMISSION (DIRECTORATE GENERAL INFORMATION SOCIETY) SAFER;   INTERNET PLUS PROGRAMME [SIP-KEP-321803]",NA,"COMMUNICATIONS-EUROPEAN JOURNAL OF COMMUNICATION RESEARCH"
"ZHANG H, 2014, ASIA PAC EDUC REV, V15, P459, DOI 10.1007/S12564-014-9321-1","10.1007/S12564-014-9321-1","TEACHERS' STAGES OF CONCERN FOR MEDIA LITERACY EDUCATION AND THE INTEGRATION OF MLE IN CHINESE PRIMARY SCHOOLS",2014,"15","MEDIA LITERACY IS AN ESSENTIAL SKILL FOR LIVING IN THE TWENTY-FIRST CENTURY. SCHOOL-BASED INSTRUCTION IS A CRITICAL PART OF MEDIA LITERACY EDUCATION (MLE), WHILE RESEARCH ON TEACHERS' CONCERNS AND INTEGRATION OF MLE IS NOT SUFFICIENT. THE OBJECTIVE OF THIS STUDY IS TO INVESTIGATE TEACHERS' STAGES OF CONCERN (SOC), PERCEIVED NEED, SCHOOL CONTEXT, AND TEACHER PRACTICES OF THE INTEGRATION OF MLE IN PRIMARY SCHOOLS. FOR THIS PURPOSE, A SURVEY WAS SETUP AND 392 PRIMARY SCHOOL TEACHERS PARTICIPATED IN THIS STUDY. THE RESULTS SHOW THAT TEACHERS' CONCERNS OF INTEGRATION OF MLE WERE GENERALLY ORIENTED AT THE LEVEL OF SELF-CONCERNS. IN THE MEANWHILE, THE INTEGRATION OF MLE WAS SIGNIFICANTLY RELATED TO TEACHERS' CONCERNS AND PERCEIVED NEED FOR MLE. BASED ON THE RESULTS OF REGRESSION ANALYSIS, TEACHERS' INTEGRATION OF MLE WAS SIGNIFICANTLY INFLUENCED BY THEIR SOC FOR MLE, SCHOOL PROFESSIONAL DEVELOPMENT SUPPORT, AND LEADERSHIP SUPPORT.","MEDIA LITERACY EDUCATION; STAGES OF CONERN; INTEGRATION OF MLE; PRIAMRY;   EDUCATION; TEACHER EDUCATION","ARTICLE","J","ENGLISH","ZHU, C (REPRINT AUTHOR), VRIJE UNIV BRUSSEL, FAC PSYCHOL & EDUC SCI, DEPT EDUC SCI, PL LAAN 2, B-1050 BRUSSELS, BELGIUM.","1598-1037","1876-407X","ASIA PAC EDUC REV","ASIA PAC. EDUC. REV.","SEP","3","459","471","13","EDUCATION & EDUCATIONAL RESEARCH","EDUCATION & EDUCATIONAL RESEARCH","AN3VZ","ISI000340518100013","TECHNOLOGY; CURRICULUM; ICT; INFORMATION; COMPUTERS; BELIEFS; MODEL",NA,NA,"SI",NA,NA,NA,NA,NA,"ASIA PACIFIC EDUCATION REVIEW"
"WALTHER B, 2014, CYBERPSYCH BEH SOC N, V17, P616, DOI 10.1089/CYBER.2014.0173","10.1089/CYBER.2014.0173","EFFECTS OF A BRIEF SCHOOL-BASED MEDIA LITERACY INTERVENTION ON DIGITAL MEDIA USE IN ADOLESCENTS: CLUSTER RANDOMIZED CONTROLLED TRIAL",2014,"17","THE AIM OF THIS STUDY WAS TO EVALUATE THE EFFECTS OF A FOUR-SESSION SCHOOL-BASED MEDIA LITERACY CURRICULUM ON ADOLESCENT COMPUTER GAMING AND INTERNET USE BEHAVIOR. THE STUDY COMPRISED A CLUSTER RANDOMIZED CONTROLLED TRIAL WITH THREE ASSESSMENTS (BASELINE, POSTTEST, AND 12-MONTH FOLLOW-UP). AT BASELINE, A TOTAL OF 2,303 SIXTH AND SEVENTH GRADE ADOLESCENTS FROM 27 SECONDARY SCHOOLS WERE ASSESSED. OF THESE, 1,843 (80%) COULD BE REACHED AT ALL THREE ASSESSMENTS (M-AGE = 12.0 YEARS SD = 0.83). STUDENTS OF THE INTERVENTION GROUP RECEIVED THE MEDIA LITERACY PROGRAM VERNETZTE WWW.WELTEN (""CONNECTED WWW.WORLDS"") IMPLEMENTED BY TRAINED TEACHERS DURING CLASS TIME. THE CONTROL GROUP ATTENDED REGULAR CLASS. MAIN OUTCOME MEASURES WERE ADOLESCENTS' COMPUTER GAMING AND INTERNET USE: DAYS PER MONTH, HOURS PER DAY, AND ADDICTIVE USE PATTERNS. PARENTAL MEDIA MONITORING AND RULES AT HOME WERE ASSESSED AS SECONDARY OUTCOMES. RESULTS OF MULTILEVEL GROWTH-CURVE MODELS REVEALED A SIGNIFICANT INTERVENTION EFFECT IN TERMS OF A LOWER INCREASE IN SELF-REPORTED GAMING FREQUENCY (BETA = -1.10 [95% CI -2.06, -0.13]), GAMING TIME (BETA = -0.27 [95% CI -0.40, -0.14]), AND PROPORTION OF EXCESSIVE GAMERS (AOR = 0.21 [95% CI 0.08, 0.57]) IN THE INTERVENTION GROUP. THERE WERE ALSO SIGNIFICANT GROUP-TIME INTERACTIONS FOR THE ADDICTIVE GAMING SCALE (BETA = -0.08 [95% CI -0.12, -0.04]), AND THE INTERNET ADDICTION SCALE ( BETA = -0.06 [95% CI -0.10, -0.01]). NO EFFECT WAS FOUND FOR DAYS AND HOURS OF INTERNET USE OR PARENTAL MEDIA BEHAVIOR. THE STUDY SHOWS THAT THE PROGRAM VERNETZTE WWW.WELTEN CAN INFLUENCE ADOLESCENTS' MEDIA USE BEHAVIOR. FUTURE RESEARCH SHOULD ADDRESS MEDIATING AND MODERATING VARIABLES OF PROGRAM EFFECTS.",NA,"ARTICLE","J","ENGLISH","MORGENSTERN, M (REPRINT AUTHOR), INST THERAPY & HLTH RES IFT NORD, HARMSSTR 2, D-24114 KIEL, GERMANY.","2152-2715","2152-2723","CYBERPSYCH BEH SOC N","CYBERPSYCHOLOGY BEHAV. SOC. NETW.","SEP","9","616","623","8","PSYCHOLOGY, SOCIAL","PSYCHOLOGY","AP1KC","ISI000341827000008","SHORT-TERM; CHILDREN; PREVENTION; ADDICTION; INTERNET; BEHAVIOR;;   RESPONSES; EDUCATION; ALCOHOL; PROGRAM",NA,"25126888",NA,NA,NA,NA,NA,NA,"CYBERPSYCHOLOGY BEHAVIOR AND SOCIAL NETWORKING"
