id,publisher,publisher_city,publisher_address
ACADEMIC PRESS INC ELSEVIER SCIENCE,ACADEMIC PRESS INC ELSEVIER SCIENCE,SAN DIEGO,"525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA"
EMERALD GROUP PUBLISHING LIMITED,EMERALD GROUP PUBLISHING LIMITED,BINGLEY,"HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND"
ONLINE INC,ONLINE INC,WILTON,"213 DANBURY RD, WILTON, CT 06897-4007 USA"
PNG PUBLICATIONS,PNG PUBLICATIONS,STAR CITY,"PO BOX 4593, STAR CITY, WV 26504-4593 USA"
ASSOC SUPERVISION CURRICULUM DEVELOPMENT,ASSOC SUPERVISION CURRICULUM DEVELOPMENT,ALEXANDRIA,"1703 N BEAUREGARD ST, ALEXANDRIA, VA 22311-1717 USA"
DRUSTVO PEDAGOSKIH DELAVCEV DOLENJSKE,DRUSTVO PEDAGOSKIH DELAVCEV DOLENJSKE,NOVO MESTO,"NA LOKO 2, PP 124, NOVO MESTO, 8000, SLOVENIA"
AATE-AUSTRALIAN ASSOC TEACHING ENGLISH,AATE-AUSTRALIAN ASSOC TEACHING ENGLISH,NORWOOD,"PO BOX 3203, NORWOOD, SA 5067, AUSTRALIA"
HACETTEPE UNIV,HACETTEPE UNIV,ANKARA,"HACETTEPE UNIV, ANKARA, 6532, TURKEY"
JOHN BENJAMINS PUBLISHING COMPANY,JOHN BENJAMINS PUBLISHING COMPANY,AMSTERDAM,"PO BOX 36224, 1020 ME AMSTERDAM, NETHERLANDS"
LAWRENCE ERLBAUM ASSOC INC-TAYLOR & FRANCIS,LAWRENCE ERLBAUM ASSOC INC-TAYLOR & FRANCIS,PHILADELPHIA,"325 CHESTNUT STREET, STE 800, PHILADELPHIA, PA 19106 USA"
AMER PSYCHOLOGICAL ASSOC,AMER PSYCHOLOGICAL ASSOC,WASHINGTON,"750 FIRST ST NE, WASHINGTON, DC 20002-4242 USA"
BLACKWELL PUBLISHING,BLACKWELL PUBLISHING,OXFORD,"9600 GARSINGTON RD, OXFORD OX4 2DQ, OXON, ENGLAND"
OHIO STATE UNIV,OHIO STATE UNIV,COLUMBUS,"341 RAMSEYER HALL, 29 W WOODRUFF AVE, COLUMBUS, OH 43210-1177 USA"
 COLLEGE EDUCATION, COLLEGE EDUCATION,COLUMBUS,"341 RAMSEYER HALL, 29 W WOODRUFF AVE, COLUMBUS, OH 43210-1177 USA"
AMER FOUNDATION BLIND,AMER FOUNDATION BLIND,NEW YORK,"J VISUAL IMPAIRMENT BLINDNESS 11 PENN PLAZA SUITE 300, NEW YORK, NY;   10001 USA"
UNIV COMPLUTENSE MADRID,UNIV COMPLUTENSE MADRID,MADRID,"DEP FILOLOGIA ESPANOLA, FAC CIENC INFORM, CIUDAD UNIV, OBISPO TREJO 2,;   MADRID, 28040, SPAIN"
 SERVICIO PUBLICACIONES, SERVICIO PUBLICACIONES,MADRID,"DEP FILOLOGIA ESPANOLA, FAC CIENC INFORM, CIUDAD UNIV, OBISPO TREJO 2,;   MADRID, 28040, SPAIN"
INFONIA,INFONIA,BUDAPEST,"MUEGYETEM RKP 9 II EMELET 210, BUDAPEST, 1111, HUNGARY"
WALTER DE GRUYTER & CO,WALTER DE GRUYTER & CO,BERLIN,"GENTHINER STRASSE 13, D-10785 BERLIN, GERMANY"
CAMBRIDGE UNIV PRESS,CAMBRIDGE UNIV PRESS,NEW YORK,"32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA"
M E SHARPE INC,M E SHARPE INC,ARMONK,"80 BUSINESS PARK DR, ARMONK, NY 10504 USA"
BRITISH PSYCHOLOGICAL SOC,BRITISH PSYCHOLOGICAL SOC,LEICESTER,"ST ANDREWS HOUSE, 48 PRINCESS RD EAST, LEICESTER LE1 7DR, LEICS, ENGLAND"
LINGUISTIC SOC AMER,LINGUISTIC SOC AMER,WASHINGTON,"1325 18TH ST NW, SUITE 211, WASHINGTON, DC 20036-6501 USA"
ASSOC COLL RESEARCH LIBRARIES,ASSOC COLL RESEARCH LIBRARIES,CHICAGO,"50 E HURON ST, CHICAGO, IL 60611 USA"
JOHN WILEY & SONS INC,JOHN WILEY & SONS INC,HOBOKEN,"111 RIVER ST, HOBOKEN, NJ 07030 USA"
UNIV HAWAII,UNIV HAWAII,HONOLULU,"1859 EAST WEST RD, 106, HONOLULU, HI 96822 USA"
 NATL FOREIGN LANGUAGE RESOURCE CENTER, NATL FOREIGN LANGUAGE RESOURCE CENTER,HONOLULU,"1859 EAST WEST RD, 106, HONOLULU, HI 96822 USA"
AMER ACAD PEDIATRIC DENTISTRY,AMER ACAD PEDIATRIC DENTISTRY,CHICAGO,"211 E CHICAGO AVENUE SUITE 1036, CHICAGO, IL 60611-2616 USA"
AMER MEDICAL ASSOC,AMER MEDICAL ASSOC,CHICAGO,"515 N STATE ST, CHICAGO, IL 60610-0946 USA"
GENETICS SOC JAPAN,GENETICS SOC JAPAN,SHIZUOKA-KEN,"NATIONAL INST GENETICS YATA 1111, MISHIMA, SHIZUOKA-KEN, 411-8540, JAPAN"
EMERALD GROUP PUBLISHING LIMITED,EMERALD GROUP PUBLISHING LIMITED,BRADFORD,"60/62 TOLLER LANE, BRADFORD BD8 9BY, W YORKSHIRE, ENGLAND"
LIPPINCOTT WILLIAMS & WILKINS,LIPPINCOTT WILLIAMS & WILKINS,PHILADELPHIA,"530 WALNUT ST, PHILADELPHIA, PA 19106-3261 USA"
WORLD ADVERTISING RESEARCH CENTER,WORLD ADVERTISING RESEARCH CENTER,OXON,"FARM RD, HENLEY-ON-THAMES, OXON, OXFORDSHIRE RG9 1EJ, ENGLAND"
W B SAUNDERS CO,W B SAUNDERS CO,PHILADELPHIA,"INDEPENDENCE SQUARE WEST CURTIS CENTER, STE 300, PHILADELPHIA, PA;   19106-3399 USA"
ASSN EDUC JOURNALISM MASS COMMUNICATION,ASSN EDUC JOURNALISM MASS COMMUNICATION,COLUMBIA,"UNIV SOUTH CAROLINA COLLEGE OF JOURNALISM, COLUMBIA, SC 29208 USA"
DIETITIANS CANADA,DIETITIANS CANADA,TORONTO,"480 UNIV AVE, SUITE 604, TORONTO, ONTARIO M5G 1V2, CANADA"
SPRINGER-VERLAG BERLIN,SPRINGER-VERLAG BERLIN,BERLIN,"HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY"
LAWRENCE ERLBAUM ASSOC INC,LAWRENCE ERLBAUM ASSOC INC,MAHWAH,"10 INDUSTRIAL AVE, MAHWAH, NJ 07430-2262 USA"
NATL READING CONFERENCE INC,NATL READING CONFERENCE INC,CHICAGO,"200 NORTH MICHIGAN AVE, CHICAGO, IL 60602 USA"
BLACKWELL PUBL LTD,BLACKWELL PUBL LTD,OXFORD,"108 COWLEY RD, OXFORD OX4 1JF, OXON, ENGLAND"
NATL COUNCIL TEACHERS ENGLISH,NATL COUNCIL TEACHERS ENGLISH,URBANA,"1111 KENYON RD, URBANA, IL 61801 USA"
AMER ANTHROPOLOGICAL ASSOC,AMER ANTHROPOLOGICAL ASSOC,ARLINGTON,"4350 NORTH FAIRFAX DRIVE SUITE 640, ARLINGTON, VA 22203 USA"
NATL ACAD TELEVISION ARTS SCIENCES,NATL ACAD TELEVISION ARTS SCIENCES,NEW YORK,"111 W 57TH ST, #1020, NEW YORK, NY 10019 USA"
AMER DIETETIC ASSOC,AMER DIETETIC ASSOC,CHICAGO,"216 W JACKSON BLVD #800, CHICAGO, IL 60606-6995 USA"
UNIV ILLINOIS PRESS,UNIV ILLINOIS PRESS,CHAMPAIGN,"1325 S OAK ST, CHAMPAIGN, IL 61820 USA"
AUSTRALASIAN MED PUBL CO LTD,AUSTRALASIAN MED PUBL CO LTD,SYDNEY,"LEVEL 1, 76 BERRY ST, SYDNEY, NSW 2060, AUSTRALIA"
NATL ASSOC EDUC YOUNG CHILDREN,NATL ASSOC EDUC YOUNG CHILDREN,WASHINGTON,"1509 16TH ST., N.W., WASHINGTON, DC 20036-1426 USA"
AMER SCHOOL HEALTH ASSOC,AMER SCHOOL HEALTH ASSOC,KENT,"PO BOX 708, KENT, OH 44240 USA"
CANADIAN MODERN LANGUAGE REV,CANADIAN MODERN LANGUAGE REV,N YORK,"UNIV TORONTO PRESS, JOURNALS DIVISION, 5201 DUFFERIN ST,, N YORK,;   ONTARIO M3H 5T8, CANADA"
BRUNNER/MAZEL INC,BRUNNER/MAZEL INC,BRISTOL,"1900 FROST RD, STE 101, BRISTOL, PA 19007-1598 USA"
SAGE PUBLICATIONS LTD,SAGE PUBLICATIONS LTD,LONDON,"6 BONHILL STREET, LONDON EC2A 4PU, ENGLAND"
BROADCAST EDUC ASSOC,BROADCAST EDUC ASSOC,WASHINGTON,"1771 N STREET NW, WASHINGTON, DC 20036 USA"
HELDREF PUBLICATIONS,HELDREF PUBLICATIONS,WASHINGTON,"1319 EIGHTEENTH ST NW, WASHINGTON, DC 20036-1802 USA"
